,Type,Latitude,Longitude,Message,Size,Time,Detail
43,Roadwork,1.3287401502123404,103.74408380876523,(20/3)10:09 Roadworks on Jurong Town Hall Road near Jurong East Street 11/Jurong Town Hall Road Junction.,1,10:09, Roadworks on Jurong Town Hall Road near Jurong East Street 11/Jurong Town Hall Road Junction.
44,Roadwork,1.326322748036136,103.71929883891654,(20/3)10:09 Roadworks on Corporation Road (towards Yung Ho Road) after Jalan Ahmad Ibrahim. Avoid right lane.,1,10:09, Roadworks on Corporation Road (towards Yung Ho Road) after Jalan Ahmad Ibrahim. Avoid right lane.
45,Roadwork,1.3274548610463164,103.75220776084593,(20/3)10:08 Roadworks on Boon Lay Way (towards Tuas) after Jalan Lempeng. Avoid left lane.,1,10:08, Roadworks on Boon Lay Way (towards Tuas) after Jalan Lempeng. Avoid left lane.
46,Roadwork,1.3264050578854554,103.71938060344044,(20/3)10:08 Roadworks on Corporation Road (towards Jalan Ahmad Ibrahim) after Yung Ho Road. Avoid right lane.,1,10:08, Roadworks on Corporation Road (towards Jalan Ahmad Ibrahim) after Yung Ho Road. Avoid right lane.
47,Roadwork,1.3011751811475083,103.901340806336,(20/3)10:08 Roadworks on Amber Road (towards Amber Gardens) after Marine Parade Road. Avoid right lane.,1,10:08, Roadworks on Amber Road (towards Amber Gardens) after Marine Parade Road. Avoid right lane.
48,Roadwork,1.3317248119452796,103.74634590434273,(20/3)10:07 Roadworks on Jurong East Street 11 near Boon Lay Way/Jurong East Street 11 Junction.,1,10:07, Roadworks on Jurong East Street 11 near Boon Lay Way/Jurong East Street 11 Junction.
49,Roadwork,1.2961994358123914,103.85791405500431,(20/3)10:07 Roadworks on Nicoll Highway (towards Shenton Way) after Republic Avenue. Avoid right lane.,1,10:07, Roadworks on Nicoll Highway (towards Shenton Way) after Republic Avenue. Avoid right lane.
50,Roadwork,1.3126660647531907,103.72749349833516,(20/3)10:07 Roadworks on Sungei Jurong Bridge (towards Tuas) after Penjuru Road. Avoid left lane.,1,10:07, Roadworks on Sungei Jurong Bridge (towards Tuas) after Penjuru Road. Avoid left lane.
51,Roadwork,1.2705458785733434,103.81170110149503,(20/3)10:06 Roadworks on Telok Blangah Road (towards Tuas) after Harbourfront Avenue.,1,10:06, Roadworks on Telok Blangah Road (towards Tuas) after Harbourfront Avenue.
52,Roadwork,1.3782401159758357,103.85854853611043,(20/3)10:06 Roadworks on CTE (towards AYE) at Ang Mo Kio Ave 5 Exit.,1,10:06, Roadworks on CTE (towards AYE) at Ang Mo Kio Ave 5 Exit.
53,Roadwork,1.2660811827799399,103.81966303169841,(20/3)10:06 Roadworks on Telok Blangah Road (towards City) after Harbourfront Avenue.,1,10:06, Roadworks on Telok Blangah Road (towards City) after Harbourfront Avenue.
54,Roadwork,1.4178435604155808,103.75472517219855,(20/3)10:05 Roadworks on Woodlands Road (towards City) after Turf Club avenue. Avoid left lane.,1,10:05, Roadworks on Woodlands Road (towards City) after Turf Club avenue. Avoid left lane.
55,Roadwork,1.3014713922589998,103.90346668159462,(20/3)10:04 Roadworks on Marine Parade Road (towards Amber Road) after Marine Parade Central. Avoid right lane.,1,10:04, Roadworks on Marine Parade Road (towards Amber Road) after Marine Parade Central. Avoid right lane.
56,Roadwork,1.3127528775150743,103.76665610217162,(20/3)10:03 Roadworks on Commonwealth Avenue West (towards Tuas) after Clementi Avenue 2.,1,10:03, Roadworks on Commonwealth Avenue West (towards Tuas) after Clementi Avenue 2.
57,Roadwork,1.3883665088183856,103.74377196241623,(20/3)10:02 Roadworks on KJE (towards PIE) after Choa Chu Kang Dr Exit. Avoid lane 4.,1,10:02, Roadworks on KJE (towards PIE) after Choa Chu Kang Dr Exit. Avoid lane 4.
58,Roadwork,1.3174498119354991,103.76409358081729,(20/3)10:02 Roadworks on Commonwealth Avenue West (towards Tuas) after Clementi Avenue 3. Avoid left lane.,1,10:02, Roadworks on Commonwealth Avenue West (towards Tuas) after Clementi Avenue 3. Avoid left lane.
59,Roadwork,1.311902559017462,103.7683948971852,(20/3)10:01 Roadworks on Commonwealth Avenue West (towards Tuas) after Clementi Road.,1,10:01, Roadworks on Commonwealth Avenue West (towards Tuas) after Clementi Road.
60,Roadwork,1.2708037223625153,103.81068728260188,(20/3)10:01 Roadworks on Telok Blangah Road (towards Tuas) after Henderson Road.,1,10:01, Roadworks on Telok Blangah Road (towards Tuas) after Henderson Road.
61,Roadwork,1.3250142013237467,103.86582350557548,(20/3)10:01 Roadworks on Serangoon Road (towards Sengkang) after St George`s Rd.,1,10:01, Roadworks on Serangoon Road (towards Sengkang) after St George`s Rd.
62,Roadwork,1.3203454652179227,103.86214952576648,(20/3)10:00 Roadworks on Serangoon Road (towards Sengkang) after Towner Road.,1,10:00, Roadworks on Serangoon Road (towards Sengkang) after Towner Road.
63,Roadwork,1.3057838064920253,103.91083674066476,(20/3)10:00 Roadworks on Marine Parade Road (towards Marine Crescent) after Still Road South. Avoid right lane.,1,10:00, Roadworks on Marine Parade Road (towards Marine Crescent) after Still Road South. Avoid right lane.
64,Roadwork,1.3124149773778673,103.77636950555885,(20/3)9:59 Roadworks on Commonwealth Avenue West (towards Tuas) after Dover Avenue. Avoid left lane.,1,9:59, Roadworks on Commonwealth Avenue West (towards Tuas) after Dover Avenue. Avoid left lane.
65,Roadwork,1.3187993765929307,103.74456731486231,(20/3)9:59 Roadworks on West Coast Road near Jurong Town Hall Road/West Coast Road Junction.,1,9:59, Roadworks on West Coast Road near Jurong Town Hall Road/West Coast Road Junction.
66,Roadwork,1.3229211026838041,103.66335794362827,(20/3)9:58 Roadworks on AYE (towards Tuas) after Tuas Rd Exit. Avoid lane 3.,1,9:58, Roadworks on AYE (towards Tuas) after Tuas Rd Exit. Avoid lane 3.
67,Roadwork,1.318730360105,103.71024953151961,(20/3)9:58 Roadworks on Jurong Pier Road (towards Jurong Pier Flyover) after Bird Park Drive. Avoid right lane.,1,9:58, Roadworks on Jurong Pier Road (towards Jurong Pier Flyover) after Bird Park Drive. Avoid right lane.
68,Roadwork,1.2782633418492308,103.84841158133948,(20/3)9:58 Roadworks on Robinson Road (towards Mccallum Street) after Maxwell Road. Avoid right lane.,1,9:58, Roadworks on Robinson Road (towards Mccallum Street) after Maxwell Road. Avoid right lane.
